type	latitude	longitude	altitude (m)	slope (%)	distance (km)	distance_interval (m)	name	desc
T	20.566448823	-75.195210974	186.5	5.0	6.177	20.26		
T	20.566244450	-75.195238698	186.0	-1.9	6.200	22.81		
T	20.566098960	-75.195258288	185.6	-3.0	6.216	16.24		
T	20.565954935	-75.195275182	184.8	-4.6	6.232	16.04		
T	20.565782750	-75.195262286	183.0	-9.3	6.251	19.11		
T	20.565668824	-75.195241161	181.1	-14.8	6.264	12.80		
T	20.565556608	-75.195215915	179.0	-16.8	6.277	12.70		
T	20.565444534	-75.195157764	175.3	-27.0	6.291	13.81		
T	20.565360324	-75.195163524	174.1	-13.0	6.300	9.34		
T	20.565164053	-75.195144057	168.7	-24.8	6.322	21.82		
T	20.565024045	-75.195120516	163.8	-31.2	6.338	15.69		
T	20.564885303	-75.195126224	159.7	-26.3	6.353	15.37		
T	20.564662519	-75.195105046	152.6	-28.9	6.378	24.76		
T	20.564550457	-75.195080194	148.6	-31.5	6.390	12.67		
T	20.564438653	-75.195087778	145.2	-27.3	6.403	12.40		
T	20.564326680	-75.195062940	143.6	-12.4	6.415	12.66		
T	20.564214742	-75.195038111	142.1	-12.4	6.428	12.66		
T	20.564103116	-75.195045704	141.2	-7.3	6.440	12.38		
T	20.563963683	-75.195055186	140.2	-6.3	6.456	15.47		
T	20.563852470	-75.195095388	139.2	-7.6	6.469	13.01		
T	20.563741008	-75.195103308	136.8	-19.5	6.481	12.37		
T	20.563629623	-75.195111231	134.4	-19.2	6.494	12.36		
T	20.563518317	-75.195119139	132.5	-15.7	6.506	12.35		
T	20.563407087	-75.195127042	130.6	-15.1	6.518	12.34		
T	20.563296330	-75.195167291	129.6	-8.1	6.531	12.96		
T	20.563185687	-75.195207499	129.0	-4.3	6.544	12.95		
T	20.563075245	-75.195247262	128.6	-3.4	6.557	12.91		
T	20.562965070	-75.195286053	126.1	-19.3	6.570	12.85		
T	20.562827581	-75.195360106	121.9	-24.7	6.587	17.07		
T	20.562745731	-75.195429343	119.9	-17.3	6.599	11.59		
T	20.562635298	-75.195471568	117.6	-17.2	6.612	12.99		
T	20.562527586	-75.195603644	115.4	-12.4	6.630	18.22		
T	20.562420015	-75.195735547	115.4	0.3	6.648	18.19		
T	20.562284881	-75.195870361	116.7	6.2	6.669	20.53		
T	20.562176197	-75.195976425	116.6	-0.5	6.685	16.34		
T	20.562123641	-75.196070827	115.7	-7.4	6.696	11.43		
T	20.562016517	-75.196203031	115.1	-3.3	6.715	18.18		
T	20.561909475	-75.196335704	115.4	1.2	6.733	18.22		
T	20.561802600	-75.196468166	114.8	-3.0	6.751	18.19		
T	20.561750927	-75.196593773	113.4	-9.6	6.765	14.29		
T	20.561672722	-75.196751431	114.8	7.5	6.784	18.58		
T	20.561621334	-75.196874652	114.8	-0.2	6.798	14.05		
T	20.561571561	-75.197058340	115.2	2.2	6.818	19.93		
T	20.561522579	-75.197272602	114.4	-3.8	6.841	22.99		
T	20.561526093	-75.197389874	111.6	-22.7	6.853	12.23		
T	20.561503799	-75.197570294	107.5	-21.5	6.872	18.97		
T	20.561509945	-75.197775722	102.6	-22.8	6.893	21.43		
T	20.561515298	-75.197950994	103.2	3.0	6.912	18.29		
T	20.561523187	-75.198215848	105.5	8.5	6.939	27.63		
T	20.561530868	-75.198483210	106.5	3.3	6.967	27.89		
T	20.561508466	-75.198664679	105.3	-6.3	6.986	19.08		
T	20.561514467	-75.198872435	102.3	-13.5	7.008	21.67		
T	20.561517726	-75.198992927	102.6	2.1	7.021	12.57		
T	20.561521800	-75.199143518	103.4	4.9	7.036	15.71		
T	20.561526686	-75.199324197	105.5	11.2	7.055	18.85		
T	20.561529944	-75.199444631	107.0	12.2	7.068	12.56		
T	20.561563895	-75.199683342	109.0	7.8	7.093	25.17		
T	20.561568776	-75.199863944	109.1	0.7	7.112	18.84		
T	20.561574502	-75.200074332	108.6	-2.1	7.134	21.95		
T	20.561608030	-75.200279843	108.1	-2.4	7.155	21.75		
T	20.561669954	-75.200513102	106.5	-6.6	7.181	25.27		
T	20.561677534	-75.200782296	103.6	-10.3	7.209	28.08		
T	20.561683336	-75.201027776	104.5	3.6	7.234	25.60		
T	20.561688887	-75.201274385	109.7	20.3	7.260	25.72		
T	20.561723001	-75.201546619	116.9	25.0	7.289	28.64		
T	20.561726829	-75.201698027	120.5	23.2	7.305	15.79		
T	20.561732184	-75.201909854	124.3	17.1	7.327	22.10		
T	20.561735935	-75.202061438	126.3	12.2	7.342	15.81		
T	20.561740800	-75.202241308	127.6	7.4	7.361	18.76		
T	20.561747511	-75.202479991	122.5	-20.7	7.386	24.90		
T	20.561753387	-75.202688870	113.9	-39.6	7.408	21.79		
T	20.561759037	-75.202898781	108.7	-23.6	7.430	21.90		
T	20.561765255	-75.203139622	108.6	-0.4	7.455	25.12		
T	20.561769139	-75.203290063	111.4	17.7	7.471	15.69		
T	20.561746904	-75.203470088	116.5	27.2	7.490	18.93		
T	20.561749940	-75.203656714	122.4	30.2	7.509	19.46		
T	20.561725460	-75.203844930	130.7	42.0	7.529	19.81		
T	20.561728439	-75.204030478	138.7	41.3	7.548	19.35		
T	20.561731480	-75.204182663	145.0	39.9	7.564	15.87		
T	20.561711513	-75.204419354	149.2	16.9	7.589	24.78		
T	20.561717065	-75.204595648	146.7	-13.5	7.607	18.39		
T	20.561722818	-75.204803669	140.4	-28.9	7.629	21.70		
T	20.561730112	-75.205071416	129.7	-38.6	7.657	27.93		
T	20.561682591	-75.205310734	123.3	-25.0	7.682	25.50		
T	20.561688530	-75.205518328	122.4	-4.4	7.704	21.66		
T	20.561694114	-75.205758115	126.9	18.3	7.729	25.01		
T	20.561699584	-75.205997644	134.0	28.1	7.754	24.98		
T	20.561703914	-75.206176596	139.4	29.3	7.773	18.67		
T	20.561711906	-75.206504073	148.5	26.4	7.807	34.16		
T	20.561744058	-75.206711180	153.2	21.9	7.829	21.89		
T	20.561776331	-75.206917942	154.7	6.4	7.851	21.85		
T	20.561811183	-75.207153012	153.4	-4.8	7.875	24.81		
T	20.561816950	-75.207330388	149.6	-20.7	7.894	18.51		
T	20.561821771	-75.207508338	144.5	-27.8	7.912	18.56		
T	20.561853790	-75.207685379	142.6	-10.0	7.931	18.80		
T	20.561858343	-75.207833623	140.0	-16.7	7.947	15.47		
T	20.561862899	-75.207981978	137.2	-17.9	7.962	15.48		
T	20.561869685	-75.208189949	135.2	-9.4	7.984	21.70		
T	20.561902155	-75.208367488	135.2	0.2	8.003	18.86		
T	20.561906833	-75.208545642	136.0	4.0	8.021	18.58		
T	20.561911434	-75.208723678	137.5	8.1	8.040	18.57		
T	20.561915152	-75.208871889	139.1	10.5	8.055	15.46		
T	20.561892507	-75.209050417	140.0	4.7	8.074	18.78		
T	20.561894740	-75.209139233	140.7	8.1	8.083	9.26		
T	20.561872448	-75.209346638	142.2	6.9	8.105	21.77		
T	20.561874341	-75.209434892	143.1	10.0	8.114	9.20		
T	20.561851611	-75.209641112	147.4	19.6	8.136	21.65		
T	20.561853552	-75.209729149	149.5	23.5	8.145	9.18		
T	20.561856145	-75.209846434	152.5	24.5	8.157	12.23		
T	20.561832294	-75.209993411	155.8	21.1	8.173	15.55		
T	20.561810187	-75.210199340	158.8	13.7	8.195	21.61		
T	20.561787967	-75.210376881	160.4	8.7	8.213	18.68		
T	20.561792127	-75.210524680	161.1	4.7	8.229	15.42		
T	20.561771185	-75.210760276	160.1	-4.3	8.253	24.67		
T	20.561774327	-75.210878009	158.9	-9.6	8.266	12.28		
T	20.561780213	-75.211085061	156.5	-10.9	8.287	21.60		
T	20.561786173	-75.211265263	153.0	-19.0	8.306	18.80		
T	20.561794136	-75.211506056	148.3	-18.4	8.331	25.12		
T	20.561800129	-75.211714034	144.7	-16.9	8.353	21.70		
T	20.561806197	-75.211895475	141.4	-17.4	8.372	18.93		
