type	latitude	longitude	altitude (m)	slope (%)	distance (km)	distance_interval (m)	name	desc
T	20.570368524	-75.216509220	43.7	-5.4	117.934	18.35		
T	20.570405301	-75.216705522	41.9	-8.8	117.955	20.87		
T	20.570409107	-75.216868044	41.3	-3.5	117.972	16.95		
T	20.570317130	-75.217058833	41.4	0.6	117.994	22.35		
T	20.570442085	-75.216901905	41.2	-1.2	118.016	21.43		
T	20.570596644	-75.216615790	42.5	3.9	118.050	34.39		
T	20.570712026	-75.216161835	46.1	7.4	118.099	49.03		
T	20.570793834	-75.215704971	45.0	-2.4	118.148	48.49		
T	20.571069322	-75.215188044	41.6	-5.4	118.209	61.93		
T	20.571370988	-75.214664932	46.3	7.3	118.273	63.96		
T	20.571584702	-75.214272997	45.8	-1.2	118.321	47.22		
T	20.571699983	-75.213877932	48.0	5.3	118.364	43.12		
T	20.571833932	-75.213914125	47.9	-1.1	118.379	15.30		
T	20.571805046	-75.214013045	47.3	-5.0	118.390	10.80		
T	20.571745878	-75.214177573	46.2	-6.1	118.408	18.36		
T	20.571623412	-75.214406660	44.7	-5.5	118.436	27.47		
T	20.571489881	-75.214369935	46.1	9.2	118.451	15.27		
T	20.571454088	-75.214302746	46.5	5.4	118.459	8.05		
T	20.571444256	-75.214070752	47.8	5.1	118.483	24.21		
T	20.571427412	-75.213673398	49.8	5.0	118.525	41.47		
T	20.571409930	-75.213243791	49.6	-0.5	118.570	44.83		
T	20.571384173	-75.212487030	52.1	3.1	118.648	78.95		
T	20.571412568	-75.211564820	56.4	4.5	118.745	96.20		
T	20.571371365	-75.210707978	59.7	3.7	118.834	89.45		
T	20.571200074	-75.209855629	64.6	5.5	118.925	90.87		
T	20.571158518	-75.209070172	75.4	13.1	119.007	82.02		
T	20.571114849	-75.208287598	85.1	11.8	119.089	81.74		
T	20.570982153	-75.207576050	98.7	18.0	119.164	75.63		
T	20.570839129	-75.207098421	112.4	26.2	119.217	52.26		
T	20.570772968	-75.206719526	131.1	46.7	119.257	40.18		
T	20.570820074	-75.206402002	148.1	50.4	119.290	33.51		
T	20.570935490	-75.206082697	161.1	36.5	119.326	35.66		
T	20.571050818	-75.205951368	162.8	9.4	119.345	18.72		
T	20.571138102	-75.205852676	165.6	20.0	119.359	14.12		
T	20.571254559	-75.205720997	167.2	8.1	119.378	18.83		
T	20.571169180	-75.205600816	170.5	21.4	119.393	15.70		
T	20.571054923	-75.205418442	174.1	15.8	119.416	22.84		
T	20.570980949	-75.205264955	178.3	23.2	119.434	17.98		
T	20.570941688	-75.205141198	178.5	1.5	119.448	13.62		
T	20.570836231	-75.204990068	181.6	16.0	119.467	19.61		
T	20.570798646	-75.204802683	180.1	-7.8	119.487	19.98		
T	20.570740833	-75.204549863	177.4	-10.0	119.515	27.13		
T	20.570683926	-75.204264443	170.2	-23.7	119.545	30.42		
T	20.570662350	-75.204007029	162.9	-27.0	119.572	26.95		
T	20.570578627	-75.203816594	160.7	-10.0	119.594	21.91		
T	20.570498491	-75.203560050	156.4	-15.1	119.622	28.18		
T	20.570443051	-75.203335929	149.9	-26.9	119.646	24.16		
T	20.570351248	-75.203115944	144.9	-19.9	119.671	25.09		
T	20.570262139	-75.202926708	139.5	-24.8	119.693	22.06		
T	20.570205026	-75.202767010	134.6	-27.2	119.711	17.81		
T	20.570098862	-75.202522578	131.7	-10.5	119.739	28.07		
T	20.569971589	-75.202307424	131.2	-1.6	119.766	26.49		
T	20.569876381	-75.202154194	131.9	3.5	119.785	19.14		
T	20.569845660	-75.202156258	131.7	-5.2	119.788	3.41		
T	20.569688773	-75.202200958	130.1	-9.1	119.806	17.98		
T	20.569442671	-75.202250390	128.5	-5.6	119.834	27.73		
T	20.569289068	-75.202293399	132.5	22.6	119.851	17.59		
T	20.569038415	-75.202378544	140.8	28.4	119.881	29.14		
T	20.568846678	-75.202429197	146.9	28.1	119.903	21.87		
T	20.568690402	-75.202474665	150.8	21.2	119.920	17.94		
T	20.568474017	-75.202524299	153.6	11.4	119.945	24.51		
T	20.568348842	-75.202567553	155.2	11.2	119.960	14.57		
T	20.568222512	-75.202643498	157.9	16.9	119.976	16.07		
T	20.568067382	-75.202689029	158.6	3.8	119.993	17.82		
T	20.567822523	-75.202709396	162.4	14.2	120.021	27.19		
T	20.567640965	-75.202692069	166.5	20.1	120.041	20.18		
T	20.567429680	-75.202677339	170.5	17.2	120.064	23.44		
T	20.567188546	-75.202665598	170.9	1.3	120.091	26.72		
T	20.566889511	-75.202626704	173.8	8.8	120.124	33.35		
T	20.566742499	-75.202574212	172.9	-5.7	120.141	17.17		
T	20.566713943	-75.202481161	169.9	-28.8	120.152	10.20		
T	20.566746887	-75.202318208	161.8	-46.6	120.169	17.38		
T	20.566842964	-75.202051625	147.7	-47.4	120.199	29.76		
T	20.566937690	-75.201753505	133.5	-43.2	120.232	32.81		
T	20.567035680	-75.201418993	124.2	-25.6	120.268	36.53		
T	20.567199234	-75.201132490	130.0	16.8	120.303	34.93		
T	20.567391012	-75.200845134	146.1	43.7	120.340	36.72		
T	20.567636011	-75.200527556	152.4	14.6	120.383	42.80		
T	20.567918980	-75.200326909	156.9	12.0	120.420	37.67		
T	20.568181280	-75.200215446	158.7	5.9	120.452	31.28		
T	20.568447569	-75.200132447	162.7	13.0	120.482	30.73		
T	20.568692581	-75.200043922	163.3	2.1	120.511	28.65		
T	20.568977441	-75.200008823	153.9	-29.6	120.543	31.75		
T	20.569232802	-75.199976954	143.9	-35.2	120.571	28.47		
T	20.569418478	-75.199991461	141.4	-12.3	120.592	20.61		
T	20.569637670	-75.200033739	143.7	9.5	120.616	24.66		
T	20.569766125	-75.200115631	147.2	21.0	120.633	16.59		
T	20.569461344	-75.200236451	143.9	-9.2	120.669	36.02		
T	20.569037701	-75.200397544	141.9	-4.0	120.719	49.82		
T	20.568552035	-75.200534209	145.1	5.7	120.774	55.62		
T	20.568067982	-75.200639777	152.5	13.4	120.829	54.71		
T	20.567647823	-75.200675192	151.5	-2.1	120.876	46.66		
T	20.567116743	-75.200714582	143.8	-13.0	120.935	58.94		
T	20.566480425	-75.200752430	131.5	-17.4	121.005	70.56		
T	20.565987846	-75.200721665	124.7	-12.5	121.060	54.63		
T	20.565436682	-75.200635717	123.1	-2.6	121.122	61.67		
T	20.564800996	-75.200559567	115.8	-10.3	121.192	70.82		
T	20.564103309	-75.200444845	123.1	9.3	121.271	78.16		
T	20.563417067	-75.200389732	127.1	5.3	121.347	76.19		
T	20.562796645	-75.200323961	122.6	-6.5	121.416	69.03		
T	20.562376812	-75.200203698	117.4	-10.8	121.464	48.14		
T	20.562070210	-75.200103951	113.8	-10.2	121.500	35.50		
T	20.561820326	-75.200030039	111.4	-8.3	121.528	28.72		
T	20.561652562	-75.199919458	109.9	-7.2	121.550	21.86		
T	20.561567149	-75.199803747	109.2	-4.5	121.565	15.33		
T	20.561507400	-75.199627368	108.2	-5.2	121.585	19.54		
T	20.561530758	-75.199474736	107.2	-5.8	121.601	16.12		
T	20.561580764	-75.199289750	105.3	-9.5	121.621	20.07		
T	20.561684632	-75.199072811	103.5	-7.3	121.647	25.38		
T	20.561896482	-75.198790616	109.0	14.8	121.684	37.63		
T	20.562162460	-75.198476318	115.4	14.5	121.728	44.06		
T	20.562376383	-75.198219515	119.7	11.8	121.764	35.75		
T	20.562590989	-75.197995217	124.2	13.7	121.797	33.34		
T	20.562832688	-75.197738689	127.8	9.4	121.835	37.84		
T	20.563104552	-75.197571961	132.1	12.4	121.870	34.76		
T	20.563323056	-75.197468963	134.2	8.0	121.896	26.47		
T	20.563570666	-75.197426279	138.0	13.6	121.924	27.77		
T	20.563681309	-75.197453204	140.4	18.9	121.937	12.57		
T	20.563848038	-75.197507522	144.9	23.3	121.956	19.31		
T	20.564098605	-75.197587752	153.1	28.3	121.985	28.97		
T	20.564241328	-75.197698433	158.5	27.8	122.005	19.57		
T	20.564499446	-75.197954109	164.9	16.5	122.044	39.08		
T	20.564737382	-75.198226934	163.1	-4.8	122.082	38.77		
T	20.564965787	-75.198658423	146.1	-32.8	122.134	51.61		
T	20.565174420	-75.199213022	130.7	-24.7	122.196	62.27		
T	20.565320335	-75.199919967	126.1	-6.2	122.272	75.46		
T	20.565344201	-75.200491007	123.7	-3.9	122.331	59.60		
T	20.565270271	-75.200958839	120.2	-7.1	122.381	49.46		
T	20.565158294	-75.201282114	122.9	7.6	122.417	35.91		
T	20.565045824	-75.201541825	125.6	9.1	122.447	29.81		
T	20.564960854	-75.201673683	126.5	5.4	122.463	16.66		
T	20.564846814	-75.201744641	126.2	-2.1	122.478	14.63		
T	20.564618924	-75.201823334	124.5	-6.7	122.504	26.53		
T	20.564420139	-75.201772695	123.9	-2.6	122.527	22.63		
T	20.564306168	-75.201653495	121.1	-15.6	122.545	17.71		
T	20.564190862	-75.201504614	115.5	-28.2	122.565	20.10		
T	20.564132035	-75.201352218	111.1	-25.5	122.582	17.17		
T	20.564098432	-75.201107361	109.3	-7.0	122.608	25.80		
T	20.564035811	-75.200865755	111.3	7.7	122.634	26.13		
T	20.563995646	-75.200570285	118.6	23.5	122.665	31.13		
T	20.563981262	-75.200311570	128.4	36.2	122.692	27.02		
T	20.563960563	-75.199972083	137.7	26.4	122.728	35.47		
T	20.563884351	-75.199573365	146.2	19.9	122.770	42.42		
T	20.563868013	-75.199195293	155.5	23.7	122.809	39.46		
T	20.563913373	-75.198927785	162.8	25.7	122.838	28.34		
T	20.563992540	-75.198804271	166.1	21.1	122.853	15.58		
T	20.564052954	-75.198917459	166.9	5.6	122.867	13.57		
T	20.564065987	-75.199207235	158.0	-29.5	122.897	30.25		
T	20.564109588	-75.199554299	145.3	-34.6	122.934	36.51		
T	20.564147620	-75.200209141	129.9	-22.5	123.002	68.41		
T	20.564178600	-75.200853639	111.7	-27.0	123.069	67.29		
T	20.564191615	-75.201599211	118.7	9.0	123.147	77.75		
T	20.564142457	-75.202480725	143.4	26.8	123.239	92.08		
T	20.564100069	-75.203219959	152.4	11.6	123.316	77.22		
T	20.564012820	-75.203820989	126.1	-41.4	123.380	63.41		
T	20.563856814	-75.204065181	117.8	-26.9	123.411	30.77		
T	20.563822602	-75.203948686	118.6	6.4	123.423	12.72		
T	20.563810184	-75.203682379	127.6	32.3	123.451	27.80		
T	20.563735275	-75.203178102	144.4	31.6	123.504	53.23		
T	20.563717633	-75.202385389	136.2	-9.9	123.587	82.68		
T	20.563765498	-75.201631984	119.2	-21.6	123.666	78.74		
T	20.563864878	-75.200880261	110.9	-10.5	123.745	79.15		
T	20.563890356	-75.200235501	131.4	30.4	123.812	67.29		
T	20.563918606	-75.199717213	143.5	22.5	123.866	54.13		
T	20.563958807	-75.199332717	152.2	21.4	123.907	40.34		
T	20.563977681	-75.199127750	159.3	33.2	123.928	21.47		
T	20.563928080	-75.199277223	153.8	-33.2	123.945	16.52		
T	20.563861123	-75.199692673	144.8	-20.5	123.989	43.95		
T	20.563732998	-75.199996260	142.4	-6.8	124.023	34.69		
T	20.563606634	-75.200262900	134.6	-25.3	124.054	31.12		
T	20.563423374	-75.200502990	121.6	-40.3	124.087	32.22		
T	20.563315464	-75.200597370	116.3	-33.8	124.102	15.48		
T	20.563200292	-75.200549007	116.9	3.9	124.116	13.71		
T	20.563138504	-75.200439457	120.9	30.1	124.129	13.31		
T	20.563074044	-75.200273445	126.6	30.5	124.148	18.72		
T	20.563033528	-75.200020820	135.8	34.5	124.175	26.72		
T	20.562939412	-75.199668674	136.9	2.8	124.213	38.17		
T	20.562872343	-75.199284835	131.5	-13.1	124.253	40.71		
T	20.562773189	-75.198721275	135.4	6.5	124.313	59.78		
T	20.562701779	-75.198020135	128.1	-10.0	124.387	73.53		
T	20.562628685	-75.197290818	121.5	-8.6	124.463	76.48		
T	20.562610853	-75.196625544	117.6	-5.6	124.533	69.40		
T	20.562544362	-75.196240549	115.5	-5.2	124.573	40.81		
T	20.562484827	-75.196095077	114.0	-9.0	124.590	16.54		
T	20.562433083	-75.196218773	113.9	-0.7	124.604	14.11		
T	20.562355494	-75.196404255	112.4	-7.3	124.625	21.16		
T	20.562306363	-75.196617565	111.3	-4.8	124.648	22.90		
T	20.562175559	-75.196901744	110.2	-3.2	124.681	32.98		
T	20.562123590	-75.197027593	111.0	5.8	124.695	14.33		
T	20.562045963	-75.197214284	113.2	10.3	124.717	21.28		
T	20.561996151	-75.197396803	112.2	-5.5	124.737	19.81		
T	20.561920545	-75.197641050	109.6	-9.7	124.763	26.81		
T	20.561844425	-75.197889640	107.1	-8.8	124.791	27.26		
T	20.561824016	-75.198165067	108.4	4.5	124.819	28.81		
T	20.561747741	-75.198378477	108.3	-0.6	124.843	23.80		
T	20.561724624	-75.198528800	107.3	-6.0	124.859	15.88		
T	20.561703110	-75.198739617	104.6	-12.5	124.881	22.11		
T	20.561788507	-75.198856317	105.3	4.8	124.897	15.41		
T	20.561898899	-75.198881167	108.6	25.9	124.909	12.49		
T	20.562010942	-75.198966400	112.0	22.2	124.924	15.26		
T	20.562152221	-75.199109681	116.0	18.8	124.946	21.63		
T	20.562236357	-75.199164778	118.4	21.7	124.957	10.94		
T	20.562322073	-75.199280637	122.5	26.8	124.972	15.36		
T	20.562435032	-75.199396413	127.4	28.3	124.990	17.38		
T	20.562548016	-75.199512214	130.3	16.5	125.007	17.39		
T	20.562661785	-75.199624933	132.4	12.2	125.024	17.23		
T	20.562666308	-75.199773753	132.4	0.3	125.040	15.53		
T	20.562637846	-75.199745556	132.1	-7.2	125.044	4.31		
T	20.562743565	-75.199590422	133.5	7.0	125.064	19.97		
T	20.562849321	-75.199435236	132.4	-5.4	125.084	19.97		
T	20.562956028	-75.199309762	132.3	-0.8	125.102	17.63		
T	20.563062776	-75.199184236	132.3	0.1	125.119	17.63		
T	20.563169569	-75.199058659	137.1	26.8	125.137	17.64		
T	20.563225759	-75.199085168	138.2	16.5	125.144	6.81		
T	20.563172341	-75.199147973	135.7	-28.5	125.153	8.82		
T	20.563121699	-75.199300096	135.0	-4.1	125.169	16.82		
T	20.563045276	-75.199513389	135.2	0.7	125.193	23.80		
T	20.562997386	-75.199754904	138.1	11.4	125.219	25.73		
T	20.562923805	-75.200057290	132.7	-16.7	125.252	32.57		
T	20.562880186	-75.200317324	123.4	-33.8	125.279	27.54		
T	20.562864608	-75.200575124	114.5	-32.9	125.306	26.94		
T	20.562817006	-75.200783143	109.1	-23.9	125.328	22.32		
T	20.562790271	-75.200847315	107.9	-17.7	125.336	7.32		
T	20.562768818	-75.200326171	122.3	26.5	125.390	54.39		
T	20.562794166	-75.199438434	132.1	10.6	125.483	92.61		
T	20.562768634	-75.198539081	135.4	3.5	125.576	93.82		
T	20.562802166	-75.197618039	125.9	-9.9	125.673	96.11		
T	20.562776982	-75.196646878	122.9	-2.9	125.774	101.30		
T	20.562806730	-75.195672388	120.0	-2.9	125.876	101.66		
T	20.562844944	-75.194927625	117.4	-3.3	125.953	77.77		
T	20.562888791	-75.194464782	112.4	-10.4	126.002	48.50		
T	20.562854911	-75.194292598	113.2	4.6	126.020	18.34		
T	20.562801592	-75.194390015	113.2	-0.4	126.032	11.75		
T	20.562722165	-75.194550715	114.2	5.4	126.051	18.92		
T	20.562643768	-75.194740666	114.5	1.5	126.072	21.62		
T	20.562538417	-75.194964231	113.7	-3.1	126.099	26.07		
T	20.562404809	-75.195195331	113.8	0.3	126.127	28.27		
T	20.562245795	-75.195487013	116.8	8.6	126.162	35.14		
T	20.562114188	-75.195779867	120.0	9.5	126.196	33.83		
T	20.562039248	-75.196055918	117.0	-10.0	126.226	29.96		
T	20.561963831	-75.196299164	114.7	-8.7	126.252	26.70		
T	20.561889576	-75.196606898	107.0	-23.3	126.286	33.12		
T	20.561866263	-75.196759015	107.1	0.5	126.302	16.07		
T	20.561953342	-75.196898056	107.1	0.2	126.319	17.41		
T	20.562059625	-75.196735942	106.3	-4.0	126.340	20.60		
T	20.562197241	-75.196689581	109.4	19.4	126.356	15.98		
T	20.562172971	-75.196812230	109.6	1.3	126.369	13.07		
T	20.562095900	-75.197030832	110.9	5.3	126.393	24.34		
T	20.562021960	-75.197335029	112.7	5.6	126.426	32.76		
T	20.561951249	-75.197760127	109.2	-7.7	126.471	45.01		
T	20.561961388	-75.198155416	111.6	5.8	126.512	41.23		
T	20.561972045	-75.198546612	111.8	0.3	126.553	40.81		
T	20.561931939	-75.199091092	110.4	-2.4	126.610	56.95		
T	20.561944179	-75.199542522	116.0	11.9	126.657	47.09		
T	20.561898456	-75.199875475	113.6	-6.7	126.692	35.08		
T	20.561929225	-75.199993829	112.9	-5.7	126.705	12.80		
T	20.562005744	-75.199779224	116.7	15.7	126.729	23.93		
T	20.562134746	-75.199471312	120.1	9.8	126.764	35.14		
T	20.562262187	-75.199103118	119.0	-2.8	126.805	40.90		
T	20.562335340	-75.198769000	120.5	4.3	126.841	35.77		
T	20.562409184	-75.198431209	121.3	2.2	126.877	36.16		
T	20.562483270	-75.198092175	121.8	1.3	126.913	36.29		
T	20.562532961	-75.197876088	121.1	-3.1	126.936	23.19		
T	20.562481755	-75.198031246	121.3	1.7	126.953	17.14		
T	20.562406141	-75.198309468	120.6	-2.6	126.983	30.19		
T	20.562302388	-75.198558347	119.1	-5.3	127.012	28.38		
T	20.562203023	-75.198956371	116.8	-5.4	127.055	42.94		
T	20.562133912	-75.199441311	120.0	6.4	127.106	51.14		
T	20.562147253	-75.199921332	117.7	-4.7	127.156	50.07		
T	20.562162874	-75.200390182	110.8	-14.1	127.205	48.92		
T	20.562175847	-75.200804991	106.7	-9.5	127.248	43.28		
T	20.562184607	-75.201205088	110.7	9.6	127.290	41.73		
T	20.562267698	-75.201198559	110.8	0.8	127.299	9.22		
T	20.562376698	-75.201097381	109.0	-11.4	127.315	16.03		
T	20.562566918	-75.200865713	108.7	-0.8	127.347	32.05		
T	20.562779565	-75.200553196	115.1	15.9	127.387	40.20		
T	20.562931785	-75.200227903	126.8	31.1	127.425	37.87		
T	20.563111587	-75.199867869	139.0	28.5	127.468	42.49		
T	20.563318921	-75.199408014	142.1	6.0	127.521	53.16		
T	20.563468798	-75.198925384	147.0	9.2	127.574	52.99		
T	20.563541728	-75.198657717	152.2	17.7	127.603	29.05		
T	20.563646694	-75.198439963	154.9	10.8	127.629	25.51		
T	20.563567777	-75.198595696	153.2	-9.1	127.647	18.44		
T	20.563503890	-75.199129566	145.9	-13.1	127.703	56.11		
T	20.563511752	-75.199366958	146.1	0.8	127.728	24.77		
T	20.563641598	-75.199123684	150.3	14.3	127.757	29.16		
T	20.563878707	-75.198753989	162.6	26.5	127.804	46.64		
T	20.564003117	-75.198233599	161.6	-1.8	127.860	55.98		
T	20.564100249	-75.197648158	153.8	-12.5	127.922	61.98		
T	20.564201306	-75.197213891	153.2	-1.5	127.968	46.64		
T	20.564221425	-75.196973635	154.7	6.0	127.993	25.15		
T	20.564131950	-75.196768608	156.1	5.9	128.017	23.56		
T	20.563996575	-75.196864962	151.7	-23.9	128.035	18.04		
T	20.563781382	-75.197054120	146.2	-17.9	128.066	30.93		
T	20.563512736	-75.197306116	138.2	-20.1	128.106	39.69		
T	20.563243916	-75.197625973	134.2	-8.9	128.150	44.70		
T	20.563059301	-75.198003760	138.0	8.4	128.195	44.38		
T	20.562846081	-75.198321196	137.0	-2.3	128.235	40.65		
T	20.562770093	-75.198600079	135.7	-4.5	128.266	30.27		
T	20.562641055	-75.198907050	130.4	-15.0	128.301	35.05		
T	20.562669310	-75.198935991	131.0	13.0	128.305	4.35		
T	20.562805614	-75.198900442	135.0	25.9	128.321	15.54		
T	20.563023229	-75.198799110	138.5	13.4	128.347	26.31		
T	20.563213822	-75.198730976	144.1	25.0	128.369	22.26		
T	20.563430937	-75.198632279	150.4	24.3	128.395	26.15		
T	20.563565575	-75.198504505	153.2	14.1	128.415	19.99		
T	20.563645961	-75.198409553	154.9	12.1	128.429	13.31		
T	20.563668438	-75.198195181	152.9	-8.5	128.451	22.49		
T	20.563582826	-75.198077442	149.9	-19.6	128.467	15.51		
T	20.563526529	-75.198018244	147.6	-26.6	128.475	8.77		
T	20.563360650	-75.197962067	143.4	-21.8	128.495	19.28		
T	20.563194133	-75.197874857	137.6	-28.0	128.515	20.56		
T	20.562973378	-75.197853717	132.7	-20.0	128.540	24.54		
T	20.562725552	-75.197866305	126.7	-21.8	128.567	27.47		
T	20.562560465	-75.197874691	121.9	-26.5	128.585	18.30		
T	20.562314564	-75.197948192	117.1	-16.9	128.614	28.28		
T	20.562179955	-75.198079110	115.3	-9.1	128.634	20.21		
T	20.562128757	-75.198235047	114.5	-4.2	128.651	17.22		
T	20.562185357	-75.198292019	115.4	10.6	128.660	8.63		
T	20.562324498	-75.198344020	118.6	19.5	128.676	16.33		
T	20.562573921	-75.198423643	126.8	28.2	128.705	28.84		
T	20.562849505	-75.198474683	137.6	34.9	128.736	30.97		
T	20.563206457	-75.198459886	146.8	23.3	128.776	39.55		
T	20.563564106	-75.198443700	153.3	16.3	128.815	39.63		
T	20.563981736	-75.198477251	164.7	24.7	128.862	46.37		
T	20.564317254	-75.198451081	169.3	12.3	128.899	37.25		
T	20.564572234	-75.198425129	164.8	-15.9	128.927	28.36		
T	20.564750719	-75.198486157	158.8	-29.1	128.948	20.76		
T	20.564550610	-75.198573055	164.1	22.4	128.972	23.94		
T	20.564212569	-75.198699585	170.8	16.9	129.012	39.68		
T	20.563936737	-75.198808430	164.4	-19.6	129.044	32.58		
T	20.563661489	-75.198917044	152.9	-35.5	129.077	32.51		
T	20.563529258	-75.199069686	147.3	-26.1	129.098	21.62		
T	20.563780694	-75.199114060	154.7	26.5	129.126	28.22		
T	20.564145047	-75.199084167	163.6	21.9	129.167	40.46		
T	20.564573862	-75.199034920	153.3	-21.6	129.215	47.75		
T	20.565007887	-75.198917445	138.5	-29.7	129.264	49.59		
T	20.565385299	-75.198778082	136.1	-5.5	129.308	44.24		
T	20.565704957	-75.198615918	135.8	-0.6	129.348	39.22		
T	20.565962512	-75.198501021	138.1	7.4	129.379	30.93		
T	20.566219205	-75.198388620	142.6	14.5	129.409	30.74		
T	20.566274387	-75.198291676	143.0	3.2	129.421	11.81		
T	20.566016714	-75.198373447	139.7	-10.8	129.451	29.77		
T	20.565642756	-75.198564806	137.3	-5.2	129.497	45.96		
T	20.565236696	-75.198768517	138.8	2.9	129.547	49.72		
T	20.565035732	-75.198884196	138.4	-1.6	129.572	25.31		
T	20.564836937	-75.199028713	143.1	17.7	129.599	26.67		
T	20.564841183	-75.199116404	141.8	-13.9	129.608	9.16		
T	20.565015546	-75.199062890	136.7	-25.3	129.628	20.09		
T	20.565245919	-75.198943722	132.7	-14.0	129.656	28.37		
T	20.565507112	-75.198819694	133.1	1.1	129.688	31.68		
T	20.565763574	-75.198609284	135.5	6.8	129.724	35.88		
T	20.565991280	-75.198498807	138.6	11.1	129.752	27.72		
T	20.566101418	-75.198305147	140.7	9.0	129.775	23.59		
T	20.566040251	-75.198251452	140.0	-7.8	129.784	8.79		
T	20.565866191	-75.198300060	138.6	-6.9	129.804	19.93		
T	20.565606027	-75.198420997	140.9	7.3	129.835	31.44		
T	20.565376731	-75.198601319	142.4	4.6	129.867	31.59		
T	20.565059367	-75.198762949	141.4	-2.6	129.906	38.97		
T	20.564803701	-75.198944734	145.3	11.6	129.940	34.07		
T	20.564634833	-75.199084935	149.7	18.4	129.964	23.73		
T	20.564409924	-75.199261718	152.5	9.2	129.995	30.98		
T	20.564356332	-75.199356438	150.1	-21.1	130.006	11.52		
T	20.564551926	-75.199184111	150.7	2.0	130.034	28.14		
T	20.564885558	-75.198815932	145.1	-10.5	130.088	53.27		
T	20.565163689	-75.198483352	149.2	8.9	130.134	46.38		
T	20.565408667	-75.198066750	151.6	4.7	130.185	51.21		
T	20.565483097	-75.197792282	155.2	12.2	130.215	29.78		
T	20.565557672	-75.197517576	156.8	5.2	130.245	29.81		
T	20.565487061	-75.197293372	162.1	21.8	130.269	24.65		
T	20.565368030	-75.197282619	163.5	10.1	130.283	13.23		
T	20.565192201	-75.197310248	165.9	12.2	130.302	19.68		
T	20.564934287	-75.197405212	169.8	12.8	130.332	30.22		
T	20.564684412	-75.197514728	168.1	-5.6	130.362	29.93		
T	20.564463024	-75.197621934	163.3	-17.6	130.389	26.94		
T	20.564213445	-75.197700412	157.9	-18.8	130.418	28.82		
T	20.564020753	-75.197805271	152.8	-21.5	130.442	23.97		
T	20.563856139	-75.197908108	149.3	-16.5	130.463	21.15		
T	20.563664755	-75.198043108	150.2	3.6	130.489	25.44		
T	20.563667702	-75.198164771	152.4	17.5	130.501	12.69		
T	20.563832020	-75.198062218	152.5	0.5	130.523	21.10		
T	20.563884654	-75.197936658	150.4	-15.2	130.537	14.33		
T	20.563692495	-75.198041221	150.5	0.4	130.561	23.91		
T	20.563450329	-75.198296662	151.2	1.8	130.599	37.79		
T	20.563182695	-75.198613037	145.7	-12.3	130.643	44.34		
T	20.563002973	-75.199038698	133.9	-24.2	130.692	48.64		
T	20.562903583	-75.199402270	132.6	-3.4	130.731	39.47		
T	20.562837229	-75.199943080	133.8	2.1	130.788	56.87		
T	20.562758397	-75.200697679	111.4	-28.3	130.867	79.16		
T	20.562664517	-75.201504106	114.8	4.0	130.952	84.73		
T	20.562570986	-75.202306632	133.5	22.2	131.036	84.32		
T	20.562533872	-75.202971130	115.6	-25.9	131.105	69.41		
T	20.562490705	-75.203361499	113.1	-6.0	131.146	40.98		
T	20.562495820	-75.203573503	114.7	7.5	131.169	22.11		
T	20.562497707	-75.203728786	118.0	20.1	131.185	16.19		
T	20.562498837	-75.203821774	120.3	24.1	131.194	9.70		
T	20.562499965	-75.203914627	122.8	25.9	131.204	9.68		
T	20.562474726	-75.204037975	127.6	36.4	131.217	13.16		
T	20.562395271	-75.204225621	137.7	47.1	131.239	21.45		
T	20.562344471	-75.204503904	150.1	41.9	131.268	29.56		
T	20.562265996	-75.204751969	156.7	24.2	131.296	27.29		
T	20.562192918	-75.205083391	151.2	-15.6	131.331	35.49		
T	20.562124410	-75.205531489	133.1	-38.1	131.378	47.34		
T	20.562023784	-75.205895007	128.9	-10.6	131.418	39.51		
T	20.561950668	-75.206225650	140.3	32.2	131.453	35.41		
T	20.561873743	-75.206437870	148.6	34.8	131.477	23.71		
T	20.561824201	-75.206648500	153.8	22.8	131.500	22.64		
T	20.561746201	-75.206800311	153.6	-1.2	131.518	18.03		
T	20.561694864	-75.206921029	152.7	-6.3	131.532	13.81		
T	20.561673381	-75.207098931	149.4	-17.3	131.550	18.70		
T	20.561679985	-75.207305609	145.1	-20.1	131.572	21.56		
T	20.561687333	-75.207542313	139.7	-22.1	131.596	24.69		
T	20.561696058	-75.207838736	138.0	-5.3	131.627	30.92		
T	20.561709763	-75.208284145	131.4	-14.2	131.674	46.47		
T	20.561720756	-75.208699585	132.9	3.4	131.717	43.34		
T	20.561729202	-75.209025554	135.9	9.0	131.751	34.00		
T	20.561736629	-75.209349863	139.0	9.0	131.785	33.83		
T	20.561769594	-75.209613590	145.0	21.7	131.813	27.74		
T	20.561829039	-75.209847007	152.1	28.0	131.838	25.21		
T	20.561833596	-75.210051917	156.8	22.1	131.859	21.37		
T	20.561894414	-75.210287462	160.6	14.9	131.885	25.47		
T	20.561954825	-75.210494334	158.3	-10.0	131.907	22.58		
T	20.562016154	-75.210731113	152.4	-23.2	131.933	25.61		
T	20.562075700	-75.210908514	148.0	-22.5	131.953	19.64		
T	20.562110428	-75.211147196	143.9	-16.2	131.978	25.18		
T	20.562118488	-75.211415567	144.2	1.1	132.006	28.00		
T	20.562178267	-75.211593812	144.5	1.6	132.026	19.73		
T	20.562213081	-75.211833387	146.1	6.3	132.051	25.28		
T	20.562218477	-75.212012751	146.9	4.5	132.070	18.71		
